"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-09-20","2015-09-26",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-38 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-09-27","2015-10-03",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-39 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-10-04","2015-10-10",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-40 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-10-11","2015-10-17",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-41 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-10-18","2015-10-24",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-42 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-10-25","2015-10-31",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-43 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-11-01","2015-11-07",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-44 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-11-08","2015-11-14",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-45 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-11-15","2015-11-21",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-46 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-11-22","2015-11-28",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-47 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-11-29","2015-12-05",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-48 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-12-06","2015-12-12",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-49 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-12-13","2015-12-19",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-50 (Zero filling)"
